notification_type,notification_main_text,notification_sub_text,created_at,updated_at
DRAFTED_RESPONSE,Did you forget something?,Did you forget to submit your response on these consultations? Your response is lying in the drafts! Click here to submit it to the government,2022-09-02 06:14:46.076794,2022-09-02 06:14:46.076794
NEWLY_PUBLISHED_CONSULTATIONS,New Consultations!,This is what has happened since you last visited! Here are the consultations that are now open for feedback. Click on the Consultation of your interest to know more!,2022-09-02 06:14:46.076794,2022-09-02 06:14:46.076794
CONSULTATIONS_NEARING_DEADLINE,Deadline approaching!,The clock is ticking and these consultations await your attention. Click on the link below and submit your response to the government,2022-09-02 06:14:46.076794,2022-09-02 06:14:46.076794
RESPONSE_UPVOTE,Your response was upvoted!,Congratulations! Your response mattered to our citizen community! Click on the link below to view the upvotes that your response received,2022-09-02 06:14:46.076794,2022-09-02 06:14:46.076794
RESPONSE_USED,Your response helped someone!,Congratulations! Your response mattered to our citizen community! Click on the link below to view the responses that were used by other Civisens,2022-09-02 06:14:46.076794,2022-09-02 06:14:46.076794
CITIZEN_SUBMITTED_CONSULTATION_STATUS,Consultations submitted by you,Thank you for being an active citizen! We appreciate your effort in participating in the the public consultation process. Here is the list of Consultations submitted by you.,2022-09-02 06:14:46.076794,2022-09-02 06:14:46.076794
LEADERBOARD_UPDATE_1,Leaderboard Update,"Congratulations! Thanks to your active partIcipation, your Rank in (city) has increased by (diff) notches!! You now stand at (position) position! Keep it up and see your Rank scale up!",2022-09-02 06:14:46.076794,2022-09-02 06:19:40.548967
LEADERBOARD_UPDATE_2,Leaderboard Update,Woohoo!! You now feature in the top 100 Civisens of (city)...the excitement is building up. View the Leaderboard of your city here https://www.civis.vote/leader-board,2022-09-02 06:15:13.391521,2022-09-02 06:15:13.391521
LEADERBOARD_UPDATE_3,Leaderboard Update,You are an inspiration (First Name)! You Rank (State Rank) in (State) and (Local Rank) in (City) and that is truly commendable. Keep it up!!,2022-09-02 06:15:36.891118,2022-09-02 06:15:36.891118
LEADERBOARD_UPDATE_4,Leaderboard Update,Congratulations (First Name)!!!! You have topped the charts! Your Rank is (National Rank) in India. We truly appreciate your partcipation! Everyone draws inspiration from you! View your Rank here https://www.civis.vote/leader-board,2022-09-02 06:16:05.831103,2022-09-02 06:20:39.861301
LEADERBOARD_UPDATE_5,Leaderboard Update,Your position stands maintained in the top 10 of (city).. Engage more with Consultations and build up the competition! You are doing great : ),2022-09-02 06:16:32.957873,2022-09-02 06:16:32.957873
LEADERBOARD_UPDATE_6,Leaderboard Update,The competition is getting intense! Participate more with Consultations and up your Rank!Would you like to see how other Civisens are faring? You can view the Leaderboard here https://www.civis.vote/leader-board,2022-09-02 06:16:52.568328,2022-09-02 06:21:26.706504
